ὁ	ὁ, ἡ, τό	the 
ῥᾳδιούργημα	ῥᾳδιούργημα, -τος, τό	a crime
ῥᾳδιουργία	ῥᾳδιουργία, -ας, ἡ	deceit, fraud, unscrupulousness
ῥαιφάν	Ῥαιφάν, ὁ	Rephan
ῥακά	ῥακά	raca, an empty-headed fool
ῥαμά	Ῥαμά, ἡ	Ramah
ῥαχάβ	Ῥαχάβ, ἡ	Rahab
ῥαχήλ	Ῥαχήλ, ἡ	Rachel
ῥεβέκκα	Ῥεβέκκα, -ας, ἡ	Rebecca
ῥέδη	ῥέδη, -ης, ἡ	a carriage, chariot
ῥέω	ῥέω	to flow 
ῥήγιον	Ῥήγιον, -ου, τό	Rhegium
ῥῆγμα	ῥῆγμα, -τος, τό	wreck, ruin, destruction
ῥησά	Ῥησά, ὁ	Rhesa
ῥήτωρ	ῥήτωρ, -ορος, ὁ	an advocate, attorney
ῥητῶς	ῥητῶς	expressly, explicitly
ῥιπή	ῥιπή, -ῆς, ἡ	a rapid movement, twinkling, blinking
ῥιπίζω	ῥιπίζομαι	to be tossed about by the wind
ῥόδη	Ῥόδη, -ης, ἡ	Rhoda
ῥόδος	Ῥόδος, -ου, ἡ	Rhodes
ῥοιζηδόν	ῥοιζηδόν	with a rushing sound, with a loud noise
ῥουβήν	Ῥουβήν, ὁ	Reuben
ῥούθ	Ῥούθ, ἡ	Ruth
ρ`υπαίνω	ῥυπαίνομαι	to defile, pollute, make filthy
ρ`υπαρία	ῥυπαρία, -ας, ἡ	filthiness, vulgarity
ρ`ύπος	ῥύπος, -ου, ὁ	dirt, filth
ρ`υτίς	ῥυτίς, -ίδος, ἡ	a wrinkle
ῥωμαϊστί	Ῥωμαϊστί	in the Latin language
ῥώννυμι	ῥώννυμαι	to be strong, farewell (imperative)
σαββατισμός	σαββατισμός, -οῦ, ὁ	a sabbath rest, sabbath observance
σαγήνη	σαγήνη, -ης, ἡ	a dragnet
σαίνω	σαίνομαι	to flatter, disturb, agitate
σαλαμίς	Σαλαμίς, -ῖνος, ἡ	Salamis
σαλείμ	Σαλείμ	Salim
σαλμώνη	Σαλμώνη, -ης, ἡ	Salmone
σάλος	σάλος, -ου, ὁ	a surge, wave
σαλπιστής	σαλπιστής, -οῦ, ὁ	a trumpeter
σαμοθρᾴκη	Σαμοθρᾴκη, -ης, ἡ	Samothrace
σάμος	Σάμος, -ου, ἡ	Samos
σαμψών	Σαμψών, ὁ	Samson
σανίς	σανίς, -ίδος, ἡ	a board, plank
σάπφιρα	Σάπφιρα	Sapphira
σάπφιρος	σάπφιρος, -ου, ἡ	the sapphire
σαργάνη	σαργάνη, -ης, ἡ	a basket
σαρδόνυξ	σαρδόνυξ, -υχος, ὁ	sardonyx
σάρεπτα	Σάρεπτα, -ων, τό	Zarephath
σαρών	Σαρών, -ῶνος, ὁ	Sharon
σεβάζομαι	σεβάζομαι	to worship
σειρά	σειρά	a cord, rope, chain
σεκοῦνδος	Σεκοῦνδος, -ου, ὁ	Secundus
σελεύκεια	Σελεύκεια, -ας, ἡ	Seleucia
σεμεΐν	Σεμεΐν, ὁ	Semein
σεμίδαλις	σεμίδαλις, -εως, ἡ	fine wheat flour
σέργιος	Σέργιος, -ου, ὁ	Sergius
σερούχ	Σερούχ, ὁ	Serug
σήθ	Σήθ, ὁ	Seth
σήμ	Σήμ, ὁ	Shem
σημειόω	σημειόομαι	to write, mark, take note of
σήπω	σήπω	to decay, rot
σητόβρωτος	σητόβρωτος, -ον	moth-eaten
σθενόω	σθενόω	to strengthen, make strong
σίδηρος	σίδηρος, -ου, ὁ	iron
σικάριος	σικάριος, -ου, ὁ	a dagger man, assassin, terrorist
σίκερα	σίκερα, τό	beer, liquor, strong drink
σιμικίνθιον	σιμικίνθιον, -ου, τό	an apron
σινιάζω	σινιάζω	to sift
σιρικός	σιρικός	silk
σιτίον	σιτίον, -ου, τό	grain, food (plural)
σιτιστός	σιτιστός, -ή, -όν	fattened
σιτομέτριον	σιτομέτριον, -ου, τό	a food allowance, ration
σκέπασμα	σκέπασμα, -τος, τό	a covering
σκευᾶς	Σκευᾶς, -ᾶ, ὁ	Sceva
σκευή	σκευή, -ῆς, ἡ	equipment, tackle, gear
σκηνοπηγία	σκηνοπηγία, -ας, ἡ	the Feast Booths or Tabernacles
σκηνοποιός	σκηνοποιός, -οῦ, ὁ	a tent-maker
σκληρότης	σκληρότης, -ητος, ἡ	hardness (of heart), stubbornness
σκληροτράχηλος	σκληροτράχηλος, -ον	stiff-necked, stubborn
σκόλοψ	σκόλοψ, -οπος, ὁ	a thorn, splinter
σκοπός	σκοπός, -οῦ, ὁ	a goal, mark
σκύβαλον	σκύβαλον, -ου, τό	refuse, garbage, rubbish
σκύθης	Σκύθης, -ου, ὁ	a Scythian
σκῦλον	σκῦλον	booty, spoils, plunder
σκωληκόβρωτος	σκωληκόβρωτος, -ον	eaten by worms
σκώληξ	σκώληξ, -ηκος, ὁ	a worm
σμαράγδινος	σμαράγδινος, -η, -ον	(of) emerald
σμάραγδος	σμάραγδος, -ου, ὁ	an emerald
σμυρνίζω	σμυρνίζω	to mix with myrrh
σορός	σορός, -οῦ, ἡ	a coffin, bier
σουσάννα	Σουσάννα, -ης, ἡ	Susanna
σπεκουλάτωρ	σπεκουλάτωρ, -ορος, ὁ	a courier, executioner
σπερμολόγος	σπερμολόγος, -ου, ὁ	a scavenger (of information)
σπιλάς	σπιλάς, -άδος, ἡ	a (hidden) reef, spot, stain
σπορά	σπορά, -ᾶς, ἡ	a seed
στάδιον	στάδιον	a stadia (one-eighth mile), an arena, stadium
στάμνος	στάμνος, -ου, ἡ	a jar
στασιαστής	στασιαστής, -οῦ, ὁ	a rebel, insurrectionist
στατήρ	στατήρ, -ῆρος, ὁ	the stater (a coin)
στέμμα	στέμμα, -τος, τό	a wreath or garland of flowers
στερέωμα	στερέωμα, -τος, τό	the firmament, firmness, steadfastness
στηριγμός	στηριγμός, -οῦ, ὁ	firmness, steadfastness
στιβάς	στιβάς, -άδος, ἡ	leaves, a leafy branch
στίγμα	στίγμα, -τος, τό	a mark, brand
στιγμή	στιγμή, -ῆς, ἡ	a moment
στίλβω	στίλβω	to shine, be radiant
στοϊκός	Στοϊκός, -ή, -όν	a Stoic
στόμαχος	στόμαχος, -ου, ὁ	stomach
στρατολογέω	στρατολογέω	to enlist soldiers
στρατόπεδον	στρατόπεδον, -ου, τό	a legion, army
στρεβλόω	στρεβλόω	to torment, twist, distort
στρῆνος	στρῆνος, -ους, τό	sensuality, luxury
στυγητός	στυγητός, -ή, -όν	hateful, loathsome, despicable
συγγενίς	συγγενίς, -ίδος, ἡ	a kinswoman, relative
συγγνώμη	συγγνώμη, -ης, ἡ	a concession, indulgence, pardon
συγκακουχέομαι	συγκακουχέομαι	to sufferwith, be mistreated with
συγκαλύπτω	συγκαλύπτω	to conceal, cover up
συγκάμπτω	συγκάμπτω	to (cause to) bend, to bend together
συγκαταβαίνω	συγκαταβαίνω	to go down with someone
συγκατάθεσις	συγκατάθεσις, -εως, ἡ	agreement, union
συγκατατίθεμαι	συγκατατίθεμαι	to agree with, consent to
συγκαταψηφίζομαι	συγκαταψηφίζομαι	to be enrolled with, be numbered with
συγκινέω	συγκινέω	to stir up, move
συγκομίζω	συγκομίζω	to bring in, bury
συγκύπτω	συγκύπτω	to be bent over
συγκυρία	συγκυρία, -ας, ἡ	coincidence, chance
συγχράομαι	συγχράομαι	to associate with, have dealings with
σύγχυσις	σύγχυσις, -εως, ἡ	confusion, tumult
συζητητής	συζητητής, -οῦ, ὁ	a disputer, debater
σύζυγος	σύζυγος, -ου, ὁ	a comrade, fellow-worker
συκάμινος	συκάμινος, -ου, ἡ	the mulberry tree
συκομορέα	συκομορέα, -ας, ἡ	a sycamore tree or fig mulberry tree
συλαγωγέω	συλαγωγέω	to make captive of, carry off as spoil
συλάω	συλάω	to rob, plunder
συλλογίζομαι	συλλογίζομαι	to reason, discuss, debate
συλλυπέομαι	συλλυπέομαι	to be deeply grieved, feel sorry for
σύμβουλος	σύμβουλος, -ου, ὁ	an adviser, counsellor
συμμαθητής	συμμαθητής, -οῦ, ὁ	a fellow disciple
συμμερίζω	συμμερίζομαι	to have a share with (middle)
συμμιμητής	συμμιμητής, -οῦ, ὁ	a fellow-imitator
συμμορφίζω	συμμορφίζομαι	to conform to, take on the same form as
συμπαθής	συμπαθής, -ές	sympathetic, understanding
συμπαραγίνομαι	συμπαραγίνομαι	to come together, come to the aid of
συμπαρακαλέω	συμπαρακαλέομαι	to encourage together
συμπάρειμι	συμπάρειμι	to be together, be present with
συμπεριλαμβάνω	συμπεριλαμβάνω	to embrace
συμπίνω	συμπίνω	to drink with
συμπίπτω	συμπίπτω	to collapse, fall together
συμπολίτης	συμπολίτης, -ου, ὁ	a fellow-citizen
συμπρεσβύτερος	συμπρεσβύτερος, -ου, ὁ	a fellow elder
σύμφημι	σύμφημι	to concur, agree with
συμφυλέτης	συμφυλέτης, -ου, ὁ	a fellow-countryman
σύμφυτος	σύμφυτος, -ον	identified with, united with
συμφύω	συμφύομαι	to grow up with
συμφώνησις	συμφώνησις, -εως, ἡ	agreement, harmony
συμφωνία	συμφωνία, -ας, ἡ	music, a symphony
σύμφωνος	σύμφωνος	attuned to, harmonious, agreeing
συμψηφίζω	συμψηφίζω	to count up, add up
σύμψυχος	σύμψυχος, -ον	harmonious, of one mind or spirit
συναγωνίζομαι	συναγωνίζομαι	to strive together
συναλίζομαι	συναλίζομαι	to assemble, gather together
συναλλάσσω	συναλλάσσω	to reconcile
συναναπαύομαι	συναναπαύομαι	to rest with
συναπόλλυμι	συναπόλλυμι	to destroy with, to perish together (middle) 
συναποστέλλω	συναποστέλλω	to send with
συναυξάνω	συναυξάνομαι	to grow together
συνδέω	συνδέομαι	to bind together, be in prison with
συνδοξάζω	συνδοξάζομαι	to join in praise, be glorified with someone
συνδρομή	συνδρομή, -ῆς, ἡ	a running together
συνεκλεκτός	συνεκλεκτός	chosen together
συνεπιμαρτυρέω	συνεπιμαρτυρέω	to bear witness together with
συνεπιτίθημι	συνεπιτίθημι	to join in an attack
συνέπομαι	συνέπομαι	to accompany
συνεφίστημι	συνεφίστημι	to join in an attack, rise up together
συνήδομαι	συνήδομαι	to delight in, rejoice together
συνηλικιώτης	συνηλικιώτης, -ου, ὁ	a contemporary
συνθρύπτω	συνθρύπτω	to break in pieces
συνοδεύω	συνοδεύω	to travel together with
συνοδία	συνοδία, -ας, ἡ	a caravan
συνοικέω	συνοικέω	to live with
συνοικοδομέω	συνοικοδομέω	to build (up) together
συνομιλέω	συνομιλέω	to talk, converse with
συνομορέω	συνομορέω	to be next (door) to
συντέμνω	συντέμνω	to cut short, shorten
σύντριμμα	σύντριμμα, -τος, τό	destruction, ruin
σύντροφος	σύντροφος, -ου, ὁ	one broughr up with, a foster-brother, companion
συντυγχάνω	συντυγχάνω	to meet with, join
συντύχη	Συντύχη, -ης, ἡ	Syntyche
συνυποκρίνομαι	συνυποκρίνομαι	to join in hypocrisy
συνυπουργέω	συνυπουργέω	to join in helping
συνωδίνω	συνωδίνω	to suffer agony together
συνωμοσία	συνωμοσία, -ας, ἡ	a conspiracy, plot
συράκουσαι	Συράκουσαι, -ῶν, ἡ	Syracuse
σύρος	Σύρος, -ου, ὁ	a Syrian man
συροφοινίκισσα	Συροφοινίκισσα, -ης, ἡ	a Syrophoenician woman
σύρτις	Σύρτις, -εως, ἡ	Syrtis
σύσσημον	σύσσημον, -ου, ἡ	signal, sign, standard, banner
σύσσωμος	σύσσωμος, -ον	of the same body
συστατικός	συστατικός, -ή, -όν	commendatory
συστενάζω	συστενάζω	to lament, groan together
συστοιχέω	συστοιχέω	to correspond to
συχάρ	Συχάρ, ἡ	Sychar
σφάγιον	σφάγιον, -ου, τό	a victim, offering
σφοδρῶς	σφοδρῶς	exceedingly, greatly, violently
σφυδρόν	σφυδρόν, -οῦ, τό	the ankle
σχολή	σχολή, -ῆς, ἡ	a lecture hall, school
σωματικῶς	σωματικῶς	in bodily form, bodily
σώπατρος	Σώπατρος, -ου, ὁ	Sopater
σωσίπατρος	Σωσίπατρος, -ου, ὁ	Sosipater
σωτήριος	σωτήριος, -ον	saving, bringing salvation
σωφρονίζω	σωφρονίζω	to encourage, advise, urge
σωφρονισμός	σωφρονισμός, -οῦ, ὁ	self-discipline, sound judgment, self-control
σωφρόνως	σωφρόνως	soberly, sensibly, showing self-control
ταβέρνη	ταβέρνη, -ης, ἡ	a rest-house, inn, tavern
τάγμα	τάγμα, -τος, τό	division, group, class, order
τακτός	τακτός, -ή, -όν	fixed, appointed
ταλαιπωρέω	ταλαιπωρέω	to endure hardship, be miserable
ταλαντιαῖος	ταλαντιαῖος, -α, -ον	weighing a talent
ταλιθά	ταλιθά	talitha, a maiden, little girl
ταπεινόφρων	ταπεινόφρων, -ον	humble
